,gyroX,gyroY,gyroZ,lowAccelX,lowAccelY,lowAccelZ,highAccelX,highAccelY,highAccelZ,sport
959,-2836.0,-3374.0,1780.0,-5718.0,-2140.0,2340.0,-971.0,186.0,634.0,hwl
960,-3090.0,-2650.0,1130.0,-5260.0,-2225.0,1110.0,-926.0,178.0,511.0,hwl
961,-3195.0,-1915.0,800.0,-5075.0,-2120.0,564.0,-907.0,188.0,456.0,hwl
962,-3320.0,-704.0,432.0,-4910.0,-2074.0,-146.0,-891.0,193.0,386.0,hwl
963,-3348.0,700.0,90.0,-4608.0,-1746.0,-1082.0,-860.0,226.0,292.0,hwl
964,-3268.0,2224.0,-284.0,-4100.0,-1408.0,-2402.0,-810.0,260.0,160.0,hwl
965,-3022.0,3728.0,-716.0,-3392.0,-1066.0,-4084.0,-739.0,294.0,-8.0,hwl
966,-2566.0,5148.0,-1176.0,-2552.0,-706.0,-6137.0,-655.0,330.0,-213.0,hwl
967,-1864.0,6442.0,-1647.0,-2014.0,144.0,-8131.0,-601.0,414.0,-413.0,hwl
968,-805.0,6991.0,-1987.0,-2100.0,975.0,-10028.0,-610.0,497.0,-602.0,hwl
969,294.0,6719.0,-2248.0,-2057.0,1795.0,-11070.0,-605.0,579.0,-707.0,hwl
970,2992.0,4152.0,-2546.0,-1028.0,3566.0,-10536.0,-502.0,756.0,-653.0,hwl
971,4518.0,2190.0,-2454.0,-672.0,4310.0,-10502.0,-467.0,831.0,-650.0,hwl
972,6086.0,140.0,-2238.0,-154.0,5252.0,-10814.0,-415.0,925.0,-681.0,hwl
973,7528.0,-1726.0,-1934.0,720.0,5954.0,-10914.0,-328.0,995.0,-691.0,hwl
974,8770.0,-3210.0,-1708.0,934.0,6720.0,-10776.0,-307.0,1072.0,-677.0,hwl
975,9770.0,-4354.0,-1735.0,660.0,14224.0,-7187.0,-334.0,1822.0,-318.0,hwl
976,5973.0,-5971.0,-453.0,23288.0,22708.0,28805.0,1928.0,2670.0,3280.0,hwl
977,1255.0,-3404.0,-247.0,13255.0,-7328.0,31536.0,925.0,-332.0,3553.0,hwl
978,618.0,986.0,-1284.0,169.0,11704.0,9980.0,-384.0,1570.0,1398.0,hwl
979,-705.0,1953.0,-1760.0,1471.0,8143.0,-200.0,-253.0,1214.0,380.0,hwl
980,1200.0,1980.0,-1480.0,-3330.0,2620.0,20.0,-733.0,662.0,402.0,hwl
981,1440.0,300.0,-1971.0,-6010.0,2788.0,608.0,-1001.0,678.0,460.0,hwl
982,1562.0,-1935.0,-2442.0,-4990.0,1058.0,-550.0,-899.0,505.0,345.0,hwl
983,2363.0,-2971.0,-2518.0,-415.0,1803.0,-6905.0,-441.0,580.0,-290.0,hwl
984,3850.0,-1987.0,-2147.0,1796.0,1414.0,-7945.0,-221.0,541.0,-394.0,hwl
985,4895.0,-218.0,-1333.0,95.0,1561.0,-4952.0,-391.0,556.0,-95.0,hwl
986,5410.0,944.0,-692.0,-1217.0,-100.0,-1962.0,-521.0,390.0,204.0,hwl
987,5590.0,1592.0,-546.0,-2122.0,-1116.0,520.0,-612.0,289.0,452.0,hwl
988,5556.0,1878.0,-626.0,-2328.0,-1620.0,1670.0,-632.0,238.0,567.0,hwl
989,5358.0,1816.0,-934.0,-2790.0,-2200.0,2426.0,-679.0,180.0,642.0,hwl
990,4633.0,1207.0,-1918.0,-3016.0,-2707.0,4203.0,-701.0,130.0,820.0,hwl
991,4246.0,1036.0,-2472.0,-2866.0,-2895.0,4914.0,-686.0,111.0,891.0,hwl
992,3875.0,1007.0,-2979.0,-2810.0,-2776.0,5274.0,-681.0,123.0,927.0,hwl
993,3540.0,1166.0,-3372.0,-2768.0,-2316.0,5294.0,-676.0,169.0,929.0,hwl
994,3234.0,1546.0,-3526.0,-2643.0,-1764.0,5276.0,-664.0,224.0,927.0,hwl
995,2986.0,1944.0,-3510.0,-2604.0,-1302.0,5282.0,-660.0,270.0,928.0,hwl
996,2698.0,2350.0,-3406.0,-2732.0,-800.0,5082.0,-673.0,320.0,908.0,hwl
997,2340.0,2678.0,-3300.0,-3010.0,-412.0,4651.0,-701.0,359.0,865.0,hwl
998,1920.0,2810.0,-3200.0,-3332.0,-65.0,4125.0,-733.0,394.0,812.0,hwl
999,1410.0,2705.0,-3145.0,-3580.0,155.0,3530.0,-758.0,415.0,753.0,hwl
1000,495.0,2060.0,-3055.0,-3655.0,745.0,2366.0,-765.0,474.0,636.0,hwl
1001,90.0,1660.0,-2954.0,-3540.0,1124.0,1846.0,-754.0,512.0,584.0,hwl
1002,-298.0,1220.0,-2838.0,-3338.0,1446.0,1318.0,-733.0,544.0,531.0,hwl
1003,-592.0,832.0,-2724.0,-3094.0,1696.0,900.0,-709.0,569.0,490.0,hwl
1004,-832.0,476.0,-2614.0,-2840.0,1804.0,622.0,-684.0,580.0,462.0,hwl
1005,-1022.0,172.0,-2504.0,-2614.0,1748.0,348.0,-661.0,574.0,434.0,hwl
1006,-1162.0,-109.0,-2390.0,-2458.0,1602.0,74.0,-645.0,560.0,407.0,hwl
1007,-1287.0,-341.0,-2269.0,-2347.0,1420.0,-241.0,-634.0,542.0,376.0,hwl
1008,-1383.0,-557.0,-2125.0,-2222.0,1129.0,-550.0,-622.0,512.0,345.0,hwl
1009,-1459.0,-767.0,-1961.0,-2159.0,841.0,-801.0,-615.0,484.0,320.0,hwl
1010,-1586.0,-1166.0,-1544.0,-2026.0,252.0,-1108.0,-602.0,425.0,290.0,hwl
1011,-1656.0,-1312.0,-1316.0,-1882.0,-8.0,-1170.0,-588.0,400.0,283.0,hwl
1012,-1718.0,-1428.0,-1086.0,-1674.0,-268.0,-1180.0,-567.0,374.0,282.0,hwl
1013,-1754.0,-1506.0,-864.0,-1422.0,-520.0,-1135.0,-542.0,348.0,287.0,hwl
1014,-1784.0,-1544.0,-622.0,-1106.0,-777.0,-959.0,-510.0,323.0,305.0,hwl
1015,-1826.0,-1505.0,-402.0,-671.0,-953.0,-760.0,-467.0,305.0,324.0,hwl
1016,-1857.0,-1347.0,-164.0,-315.0,-1114.0,-533.0,-431.0,289.0,347.0,hwl
1017,-1932.0,-1087.0,94.0,-235.0,-1355.0,-402.0,-423.0,265.0,360.0,hwl
1018,-1976.0,-844.0,291.0,-275.0,-1560.0,-300.0,-427.0,244.0,370.0,hwl
1019,-1926.0,-630.0,390.0,-424.0,-1650.0,-330.0,-442.0,235.0,367.0,hwl
1020,-1790.0,-470.0,400.0,-810.0,-1840.0,-586.0,-481.0,216.0,342.0,hwl
1021,-1750.0,-460.0,396.0,-900.0,-1911.0,-633.0,-490.0,209.0,337.0,hwl
1022,-1671.0,-473.0,354.0,-1070.0,-1932.0,-579.0,-507.0,207.0,343.0,hwl
1023,-1582.0,-504.0,293.0,-1022.0,-2038.0,-652.0,-502.0,197.0,335.0,hwl
1024,-1500.0,-536.0,221.0,-947.0,-2030.0,-579.0,-494.0,197.0,343.0,hwl
1025,-1400.0,-498.0,130.0,-921.0,-2124.0,-574.0,-492.0,188.0,343.0,hwl
1026,-1300.0,-477.0,24.0,-930.0,-2159.0,-632.0,-493.0,185.0,337.0,hwl
1027,-1200.0,-446.0,-52.0,-931.0,-2154.0,-736.0,-493.0,185.0,327.0,hwl
1028,-1088.0,-426.0,-106.0,-944.0,-2168.0,-808.0,-494.0,184.0,320.0,hwl
1029,-980.0,-410.0,-132.0,-962.0,-2164.0,-852.0,-496.0,184.0,315.0,hwl
1030,-770.0,-436.0,-108.0,-958.0,-2164.0,-950.0,-495.0,184.0,305.0,hwl
1031,-654.0,-456.0,-62.0,-959.0,-2141.0,-941.0,-495.0,186.0,306.0,hwl
1032,-531.0,-473.0,1.0,-980.0,-2105.0,-902.0,-498.0,190.0,310.0,hwl
1033,-401.0,-480.0,80.0,-989.0,-2037.0,-830.0,-498.0,197.0,317.0,hwl
1034,-271.0,-483.0,202.0,-1049.0,-1894.0,-696.0,-504.0,211.0,331.0,hwl
1035,-144.0,-498.0,332.0,-1167.0,-1624.0,-544.0,-516.0,238.0,346.0,hwl
1036,-28.0,-518.0,450.0,-1206.0,-1330.0,-448.0,-520.0,267.0,356.0,hwl
1037,52.0,-546.0,534.0,-1114.0,-1022.0,-426.0,-511.0,298.0,358.0,hwl
1038,128.0,-598.0,574.0,-982.0,-734.0,-384.0,-498.0,327.0,362.0,hwl
1039,186.0,-664.0,576.0,-890.0,-534.0,-302.0,-489.0,347.0,370.0,hwl
1040,230.0,-745.0,620.0,-845.0,-385.0,-200.0,-484.0,362.0,380.0,hwl
1041,220.0,-740.0,750.0,-825.0,-410.0,-205.0,-482.0,359.0,380.0,hwl
1042,195.0,-695.0,975.0,-840.0,-400.0,-245.0,-484.0,360.0,376.0,hwl
1043,160.0,-610.0,1265.0,-850.0,-365.0,-346.0,-485.0,364.0,366.0,hwl
1044,120.0,-485.0,1630.0,-820.0,-326.0,-432.0,-482.0,368.0,357.0,hwl
1045,64.0,-314.0,1980.0,-754.0,-268.0,-454.0,-475.0,374.0,355.0,hwl
1046,10.0,-154.0,2318.0,-754.0,-222.0,-396.0,-475.0,378.0,361.0,hwl
1047,-64.0,-6.0,2636.0,-780.0,-180.0,-252.0,-478.0,382.0,375.0,hwl
1048,-166.0,128.0,2934.0,-920.0,-118.0,-84.0,-492.0,389.0,392.0,hwl
1049,-288.0,234.0,3225.0,-1096.0,-24.0,57.0,-509.0,398.0,405.0,hwl
1050,-657.0,272.0,3694.0,-1535.0,266.0,179.0,-553.0,426.0,417.0,hwl
1051,-874.0,183.0,3886.0,-1757.0,460.0,235.0,-575.0,446.0,423.0,hwl
1052,-1122.0,24.0,4052.0,-2044.0,646.0,298.0,-604.0,464.0,429.0,hwl
1053,-1375.0,-198.0,4180.0,-2329.0,844.0,398.0,-632.0,484.0,439.0,hwl
1054,-1658.0,-432.0,4240.0,-2554.0,952.0,612.0,-655.0,495.0,461.0,hwl
1055,-1902.0,-696.0,4250.0,-2846.0,1018.0,844.0,-684.0,501.0,484.0,hwl
1056,-2110.0,-910.0,4202.0,-3110.0,1078.0,930.0,-711.0,507.0,493.0,hwl
