end_mvt,exercise,gyroX_max,gyroX_mean,gyroX_min,gyroX_std,gyroY_max,gyroY_mean,gyroY_min,gyroY_std,gyroZ_max,gyroZ_mean,gyroZ_min,gyroZ_std,highAccelX_max,highAccelX_mean,highAccelX_min,highAccelX_std,highAccelY_max,highAccelY_mean,highAccelY_min,highAccelY_std,highAccelZ_max,highAccelZ_mean,highAccelZ_min,highAccelZ_std,lowAccelX_max,lowAccelX_mean,lowAccelX_min,lowAccelX_std,lowAccelY_max,lowAccelY_mean,lowAccelY_min,lowAccelY_std,lowAccelZ_max,lowAccelZ_mean,lowAccelZ_min,lowAccelZ_std,start_mvt
2061.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,-516.3809523809524,-2436.0,491.8881471521303,1058.0,856.6507936507936,287.0,161.90978757899748,2433.0,1681.8412698412699,931.0,426.45153286420776,10250.0,-1164.1746031746031,-20360.0,4920.10303963595,6580.0,4568.492063492064,-1130.0,1619.1484607160708,20330.0,12819.714285714286,5310.0,4264.524836173547,1998.0
2062.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,-516.5396825396825,-2436.0,491.86307514410976,1058.0,854.7619047619048,287.0,160.98494362434243,2433.0,1690.1904761904761,931.0,420.1176431684136,10250.0,-1165.7619047619048,-20360.0,4919.852262121901,6580.0,4549.666666666667,-1130.0,1609.9316755688735,20330.0,12903.253968253968,5310.0,4201.153213292344,1999.0
2063.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,-517.6190476190476,-2436.0,491.7558543388148,1058.0,852.3650793650794,287.0,160.01474746423213,2433.0,1698.5873015873017,931.0,413.50803069475296,10250.0,-1176.5555555555557,-20360.0,4918.779506294342,6580.0,4525.6984126984125,-1130.0,1600.2613761802204,20330.0,12987.222222222223,5310.0,4135.028877866336,2000.0
2064.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,-518.4126984126984,-2436.0,491.6902262053079,1058.0,850.015873015873,287.0,159.04498167372813,2433.0,1704.968253968254,931.0,409.3035378209046,10250.0,-1184.4920634920634,-20360.0,4918.122789245638,6580.0,4502.206349206349,-1130.0,1590.5951428148314,20330.0,13051.031746031746,5310.0,4092.9620474121893,2001.0
2065.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,-517.4603174603175,-2436.0,491.87901165792294,1058.0,847.3809523809524,287.0,157.9757462572339,2433.0,1709.4761904761904,931.0,405.6023739011962,10250.0,-1174.7460317460318,-20360.0,4920.052704176975,6580.0,4475.793650793651,-1130.0,1579.878192106759,20330.0,13096.015873015873,5310.0,4056.047430418991,2002.0
2066.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,-516.3174603174604,-2436.0,492.11950507053194,1058.0,844.3968253968254,287.0,156.48864121229064,2433.0,1713.8095238095239,931.0,402.02426732815184,10250.0,-1163.3174603174602,-20360.0,4922.457358472549,6580.0,4445.952380952381,-1130.0,1565.046731535324,20330.0,13139.349206349207,5310.0,4020.252841345446,2003.0
2067.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,-514.1587301587301,-2436.0,492.70858384232554,1058.0,842.8412698412699,287.0,155.22722224981595,2433.0,1717.142857142857,931.0,398.9671688789918,10250.0,-1141.7301587301588,-20360.0,4928.34727321098,6580.0,4430.396825396825,-1130.0,1552.4540462751904,20330.0,13172.619047619048,5310.0,3989.7469781063505,2004.0
2068.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,-512.6507936507936,-2436.0,493.17765426741994,1058.0,841.2857142857143,287.0,153.93949676283367,2433.0,1720.126984126984,931.0,396.2703334383467,10250.0,-1126.6507936507937,-20360.0,4933.037221725251,6580.0,4414.841269841269,-1130.0,1539.5986825892712,20330.0,13202.460317460318,5310.0,3962.770026722497,2005.0
2069.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,-511.07936507936506,-2436.0,493.66748968691866,1058.0,840.0952380952381,287.0,152.84482055505484,2433.0,1725.142857142857,931.0,392.4754710701104,10250.0,-1110.904761904762,-20360.0,4937.947865238724,6580.0,4402.9682539682535,-1130.0,1528.6905630916979,20330.0,13252.619047619048,5310.0,3924.806588325133,2006.0
2101.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,-427.73015873015873,-2436.0,442.6130694377101,1467.0,897.8571428571429,-1336.0,456.8762752382488,2619.0,1742.8253968253969,885.0,333.25479643149635,10250.0,-277.3174603174603,-20360.0,4426.92551080754,10675.0,4980.015873015873,-17360.0,4569.053814282394,22190.0,13429.730158730159,4850.0,3332.7646530265047,2038.0
2102.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,-438.968253968254,-2436.0,438.45656599742813,1467.0,901.4761904761905,-1336.0,456.21040198090185,2619.0,1736.3174603174602,885.0,331.35575976422956,10250.0,-389.6984126984127,-20360.0,4385.367596446755,10675.0,5016.206349206349,-17360.0,4562.383863864303,22190.0,13364.650793650793,4850.0,3313.804986566243,2039.0
2103.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,-448.6666666666667,-2436.0,433.3172122725024,1467.0,906.5873015873016,-1336.0,456.0847981044271,2619.0,1730.4920634920634,885.0,329.72441440106456,10250.0,-486.8253968253968,-20360.0,4333.962373639022,10675.0,5067.31746031746,-17360.0,4561.134228016157,22190.0,13306.333333333334,4850.0,3297.429008260243,2040.0
2125.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-107.0,-514.6984126984127,-955.0,183.22721967463758,1467.0,966.3492063492064,-1336.0,448.282138934923,2619.0,1771.6507936507937,885.0,288.06020644942015,2930.0,-1148.095238095238,-5550.0,1832.9435758019754,10675.0,5664.68253968254,-17360.0,4483.110573443676,22190.0,13718.079365079366,4850.0,2880.779421310273,2062.0
2126.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-107.0,-516.031746031746,-955.0,183.4462185627349,1467.0,969.3809523809524,-1336.0,448.073418111846,2619.0,1772.7142857142858,885.0,287.674739524291,2930.0,-1161.5555555555557,-5550.0,1835.1746579248545,10675.0,5695.063492063492,-17360.0,4481.0244863777125,22190.0,13728.777777777777,4850.0,2876.9034621387545,2063.0
2127.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-107.0,-517.5396825396825,-955.0,183.7276056484625,1467.0,972.3015873015873,-1336.0,447.8293394313333,2619.0,1773.8095238095239,885.0,287.2769180595085,2930.0,-1176.6349206349207,-5550.0,1837.977116477886,10675.0,5724.269841269841,-17360.0,4478.575548334569,22190.0,13739.730158730159,4850.0,2872.9191302988447,2064.0
2128.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-107.0,-520.5555555555555,-955.0,183.1922820054926,1467.0,975.7460317460317,-1336.0,447.54379739734713,2619.0,1776.6190476190477,885.0,285.61537573657137,2930.0,-1206.984126984127,-5550.0,1832.5696439000576,10675.0,5758.761904761905,-17360.0,4475.718099580496,22190.0,13767.825396825398,4850.0,2856.2882384801574,2065.0
600.0,burpees_normal_speed_10_TM01R_1534060644190.txt,1249.0,-177.67619047619047,-1736.0,814.3607272819546,3426.0,-344.8095238095238,-2846.0,860.9424185073866,1505.0,-121.33333333333333,-996.0,463.71643910630974,534.0,-402.45714285714286,-886.0,122.73431503826502,487.0,196.07619047619048,-752.0,183.70093249826633,1090.0,454.1333333333333,0.0,119.73296142367002,9342.0,-25.02857142857143,-4867.0,1228.9121945314612,870.0,-2042.847619047619,-11528.0,1838.42129588736,6901.0,543.7428571428571,-4004.0,1199.2556908715972,495.0
