exercise,gyroX_max,gyroX_mean,gyroX_min,gyroX_std,gyroY_max,gyroY_mean,gyroY_min,gyroY_std,gyroZ_max,gyroZ_mean,gyroZ_min,gyroZ_std,highAccelX_max,highAccelX_mean,highAccelX_min,highAccelX_std,highAccelY_max,highAccelY_mean,highAccelY_min,highAccelY_std,highAccelZ_max,highAccelZ_mean,highAccelZ_min,highAccelZ_std,length_exercise,length_mvt,lowAccelX_max,lowAccelX_mean,lowAccelX_min,lowAccelX_std,lowAccelY_max,lowAccelY_mean,lowAccelY_min,lowAccelY_std,lowAccelZ_max,lowAccelZ_mean,lowAccelZ_min,lowAccelZ_std
cross_shadowboxing_medium_20_T7R_1531551242371.txt,7959.0,-3.914285714285714,-4075.0,2839.5210280798356,9930.0,-150.05714285714285,-11047.0,3994.6962627880453,3733.0,114.6,-9394.0,3422.9747485793355,1378.0,-374.6857142857143,-1233.0,559.6395253369152,2760.0,378.42857142857144,-211.0,712.4629313665579,943.0,477.74285714285713,-10.0,199.33689231714098,1350.0,35.0,17780.0,253.22857142857143,-8335.0,5599.2928129400425,23604.0,-217.68571428571428,-6116.0,7127.303733949212,5435.0,778.8,-4102.0,1995.7751523715112
cross_shadowboxing_medium_20_T7R_1531551242371.txt,7959.0,-3.5428571428571427,-4075.0,2839.3798032716386,9930.0,-139.97142857142856,-11047.0,3995.446050970841,3733.0,112.45714285714286,-9394.0,3422.1697738926596,1378.0,-375.37142857142857,-1233.0,559.6130010322936,2760.0,375.9714285714286,-211.0,713.9212959470551,943.0,475.8,-10.0,197.94514985960421,1350.0,35.0,17780.0,246.45714285714286,-8335.0,5599.023088859326,23604.0,-242.17142857142858,-6116.0,7141.829603637639,5435.0,759.3428571428572,-4102.0,1981.8122416981223
cross_shadowboxing_medium_20_T7R_1531551242371.txt,8647.0,63.77142857142857,-4162.0,3079.0511915744655,8490.0,-285.7142857142857,-8324.0,3098.4837332763514,4415.0,-205.5142857142857,-9687.0,3860.2706120580883,1836.0,-408.74285714285713,-1278.0,560.5204169476132,3241.0,363.0285714285714,-151.0,681.984538625598,1000.0,473.7142857142857,-15.0,202.73810568267209,1350.0,35.0,22363.0,-87.14285714285714,-8782.0,5607.089148059421,28417.0,-371.48571428571427,-5519.0,6823.157455966231,6001.0,738.1428571428571,-4156.0,2030.2058160349618
cross_shadowboxing_medium_20_T7R_1531551242371.txt,8045.0,52.628571428571426,-4618.0,2939.408434739631,8910.0,-135.8,-9625.0,3383.97044730525,4365.0,-64.48571428571428,-9069.0,3489.8898378992235,1236.0,-374.3142857142857,-1218.0,536.6250619779672,2805.0,360.25714285714287,-276.0,733.0687048636166,894.0,454.45714285714286,-68.0,188.4126171086063,1350.0,35.0,16362.0,256.45714285714286,-8187.0,5368.891973225766,24056.0,-397.9142857142857,-6760.0,7332.8067588765225,4945.0,545.2857142857143,-4688.0,1887.6677420037884
cross_shadowboxing_medium_20_T7R_1531551242371.txt,7430.0,-20.02857142857143,-4363.0,2775.6634340567416,8239.0,-246.65714285714284,-9836.0,3272.7766493665063,3866.0,211.71428571428572,-8492.0,3071.562914787161,1346.0,-409.0,-1170.0,467.68245888951316,2628.0,315.8857142857143,-205.0,573.9206632724531,896.0,462.14285714285717,-37.0,189.41460016667807,1350.0,35.0,17466.0,-89.54285714285714,-7700.0,4680.104997206146,22289.0,-842.4285714285714,-6052.0,5742.492384105756,4968.0,623.0857142857143,-4376.0,1898.1364757762465
cross_shadowboxing_medium_20_T7R_1531551242371.txt,7683.0,106.8,-4262.0,2928.164751472277,9272.0,-176.0857142857143,-11310.0,3414.1973078811448,3670.0,1.3142857142857143,-9778.0,3656.6244380127782,1483.0,-380.0857142857143,-1238.0,527.5300031293772,3433.0,371.14285714285717,-228.0,766.7119308279672,986.0,465.65714285714284,6.0,191.62846142181166,1350.0,35.0,18835.0,198.4857142857143,-8389.0,5278.396616907274,30334.0,-290.42857142857144,-6281.0,7669.660320286122,5869.0,658.7142857142857,-3949.0,1918.9119400361876
cross_shadowboxing_medium_20_T7R_1531551242371.txt,7730.0,65.48571428571428,-3752.0,2924.6980877009646,7970.0,-152.88571428571427,-9564.0,3176.3378910813826,4258.0,-10.0,-9902.0,3775.0293571121833,1391.0,-396.8285714285714,-1199.0,569.9880022325694,3029.0,392.22857142857146,-244.0,757.404006175983,908.0,440.37142857142857,119.0,185.48903340253042,1350.0,35.0,17910.0,29.82857142857143,-7996.0,5702.511033518037,26290.0,-79.54285714285714,-6447.0,7576.963074473358,5086.0,404.8,-2816.0,1857.684513834676
cross_shadowboxing_medium_20_T7R_1531551242371.txt,7631.0,10.942857142857143,-3850.0,2925.0004217481555,9940.0,51.08571428571429,-8557.0,3317.7772624191048,4156.0,-18.8,-10189.0,3996.80739355507,1702.0,-396.9142857142857,-1178.0,559.1887175620942,3157.0,403.42857142857144,-177.0,709.8107156847101,918.0,462.48571428571427,28.0,192.60388662448415,1350.0,35.0,21026.0,29.8,-7783.0,5594.495213521739,27570.0,32.42857142857143,-5774.0,7099.838603325945,5180.0,626.0571428571428,-3728.0,1929.0197898362348
cross_shadowboxing_medium_20_T7R_1531551242371.txt,9242.0,884.1714285714286,-2905.0,2830.3069723941944,9680.0,-688.0,-10220.0,4069.35971983453,4605.0,-888.8,-13106.0,4725.197697700377,1551.0,-465.62857142857143,-1463.0,608.1948258728345,3085.0,481.25714285714287,-316.0,771.1086115174064,931.0,390.7142857142857,-122.0,230.51764911741975,1350.0,35.0,19518.0,-658.0,-10638.0,6084.931402774446,26850.0,811.4571428571429,-7162.0,7713.270456674984,5314.0,-92.57142857142857,-5225.0,2308.987214772571
cross_shadowboxing_medium_20_T7R_1531551242371.txt,9242.0,948.3428571428572,-2905.0,2809.9454353385286,9680.0,-779.2571428571429,-10220.0,4079.950528411553,4605.0,-1078.057142857143,-13106.0,4755.797866770605,1551.0,-460.74285714285713,-1463.0,609.6459118333576,3085.0,491.0285714285714,-316.0,767.0391310561857,931.0,388.85714285714283,-122.0,229.0474061973073,1350.0,35.0,19518.0,-609.1428571428571,-10638.0,6099.449300806528,26850.0,909.3428571428572,-7162.0,7672.489782803682,5314.0,-111.31428571428572,-5225.0,2294.149730631072
