start_mvt,end_mvt,exercise,gyroX_max,gyroX_mean,gyroX_min,gyroX_std,gyroY_max,gyroY_mean,gyroY_min,gyroY_std,gyroZ_max,gyroZ_mean,gyroZ_min,gyroZ_std,highAccelX_max,highAccelX_mean,highAccelX_min,highAccelX_std,highAccelY_max,highAccelY_mean,highAccelY_min,highAccelY_std,highAccelZ_max,highAccelZ_mean,highAccelZ_min,highAccelZ_std,lowAccelX_max,lowAccelX_mean,lowAccelX_min,lowAccelX_std,lowAccelY_max,lowAccelY_mean,lowAccelY_min,lowAccelY_std,lowAccelZ_max,lowAccelZ_mean,lowAccelZ_min,lowAccelZ_std
296,345,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,6096,88.63265306,-4302,2551.746336,10134,-410.1020408,-13430,3795.193634,4822,65.46938776,-7452,2892.16981,727,-389.8163265,-763,341.785305,2325,322.0816327,-59,509.6235063,1046,470.2244898,-49,189.4872759,11270,99.79591837,-3635,3419.602755,19258,-780.244898,-4595,5099.393716,6464,704.0816327,-4492,1896.747708
297,346,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,6096,85.6122449,-4302,2552.588546,10134,-394.3469388,-13430,3796.626697,4822,63.91836735,-7452,2891.698246,727,-389.6938776,-763,341.7939928,2325,321.3469388,-59,510.0394001,1046,470.3673469,-49,189.5174458,11270,101.1020408,-3635,3419.698886,19258,-787.4897959,-4595,5103.495984,6464,705.4285714,-4492,1897.034934
346,395,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,6172,-17.85714286,-4231,2574.143579,6400,-267.7755102,-12284,3386.188505,4330,82.85714286,-6314,2649.048532,602,-391.6530612,-726,280.444257,1927,311.1632653,-32,428.5804255,989,465.1632653,144,144.957946,10020,82.51020408,-3264,2806.56574,15276,-890.1632653,-4325,4289.132742,5894,653.3469388,-2565,1451.609546
395,444,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,5464,68.26530612,-4275,2534.017781,10144,-279.7142857,-14304,3840.858492,4024,-63.89795918,-6577,2620.816828,778,-382.2653061,-671,298.0112397,1944,299.5510204,-61,437.3397831,1114,478.1428571,125,174.4737325,11786,176.0408163,-2710,2983.069518,15448,-1006.102041,-4616,4376.546871,7144,782.9591837,-2755,1746.818107
444,493,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,5582,32.42857143,-4042,2643.14642,7696,-247.2653061,-12962,3589.623725,4055,16,-6010,2661.446928,584,-386.8571429,-693,301.8361172,1807,323.8979592,-49,445.871583,1093,479.122449,196,167.2100267,9840,129.6938776,-2936,3021.314706,14071,-762.4489796,-4490,4461.550123,6937,792.5918367,-2048,1674.696327
445,494,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,5582,31.85714286,-4042,2643.346837,7696,-242.4897959,-12962,3590.356848,4055,12.93877551,-6010,2660.170847,584,-387.9387755,-693,301.8803853,1807,321.0408163,-49,447.6764531,1093,478.2244898,196,167.1150135,9840,118.7142857,-2936,3021.742054,14071,-790.9387755,-4490,4479.565917,6937,783.6530612,-2048,1673.732288
541,590,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,5412,226.5306122,-3730,2356.931931,5709,88.97959184,-10329,2769.211564,4323,-70.69387755,-6340,2743.641005,680,-406.8979592,-656,299.1485309,1898,324.8367347,-46,451.6527218,1111,468.4489796,180,160.0535146,10801,-70.28571429,-2560,2993.420862,14989,-752.7959184,-4460,4519.026315,7112,685.6122449,-2200,1601.648536
686,735,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,4789,63.10204082,-2930,2090.886248,6096,-270.0204082,-10842,2852.401667,4276,148.5510204,-7134,2863.037097,736,-383.1632653,-653,295.6937709,1819,303.3265306,-72,411.1305747,997,467.4081633,205,124.6189055,11360,166.1020408,-2538,2959.553065,14196,-967.7346939,-4720,4114.994936,5970,675.8163265,-1955,1247.32692
733,782,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,5210,282.1428571,-3696,2242.216881,4367,-183.6530612,-12585,3126.270232,4826,223.6530612,-6540,2908.385051,654,-387.2857143,-656,316.6297128,1935,326.3673469,-68,468.5422737,1156,479.5102041,251,145.4945764,10546,125.3673469,-2562,3168.811519,15358,-737.7959184,-4688,4689.269208,7568,797.2857143,-1498,1456.89746
734,783,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,5210,295.3265306,-3696,2236.015582,4367,-157,-12585,3135.285221,4826,222.6122449,-6540,2908.011533,654,-387.7346939,-656,316.7982912,1935,328.4081633,-41,467.0040113,1156,479.7755102,251,145.5352571,10546,120.877551,-2562,3170.4934,15358,-717.2244898,-4416,4673.764343,7568,799.9591837,-1498,1457.318656
